0,1
Market Cap (intraday),940.7B
Enterprise Value,971.83B
Trailing P/E,16.46
Forward P/E,15.57
PEG Ratio (5 yr expected),1.35
Price/Sales (ttm),3.60
Price/Book (mrq),8.00
Enterprise Value/Revenue,3.71
Enterprise Value/EBITDA,12.22
